OBEC,OKRES,KRAJ
"Homole u Panny","Ústí nad Labem","Ústecký kraj"
Honbice,Chrudim,"Pardubický kraj"
Honětice,Kroměříž,"Zlínský kraj"
Honezovice,Plzeň-jih,"Plzeňský kraj"
Hořany,Nymburk,"Středočeský kraj"
"Hora Svatého Šebestiána",Chomutov,"Ústecký kraj"
"Hora Svatého Václava",Domažlice,"Plzeňský kraj"
"Hora Svaté Kateřiny",Most,"Ústecký kraj"
Hořátev,Nymburk,"Středočeský kraj"
Horažďovice,Klatovy,"Plzeňský kraj"
Horčápsko,Příbram,"Středočeský kraj"
Hořenice,Náchod,"Královéhradecký kraj"
Hořepník,Pelhřimov,Vysočina
Hořesedly,Rakovník,"Středočeský kraj"
Hořešovice,Kladno,"Středočeský kraj"
Hořešovičky,Kladno,"Středočeský kraj"
Hořice,Jičín,"Královéhradecký kraj"
"Hořice na Šumavě","Český Krumlov","Jihočeský kraj"
Hořice,Pelhřimov,Vysočina
Hořičky,Náchod,"Královéhradecký kraj"
Hořiněves,"Hradec Králové","Královéhradecký kraj"
Hořín,Mělník,"Středočeský kraj"
Horka,Chrudim,"Pardubický kraj"
"Horka II","Kutná Hora","Středočeský kraj"
"Horka I","Kutná Hora","Středočeský kraj"
"Horka nad Moravou",Olomouc,"Olomoucký kraj"
"Horka u Staré Paky",Semily,"Liberecký kraj"
Horky,"Kutná Hora","Středočeský kraj"
"Horky nad Jizerou","Mladá Boleslav","Středočeský kraj"
Horky,Svitavy,"Pardubický kraj"
"Horní Bečva",Vsetín,"Zlínský kraj"
"Horní Bělá",Plzeň-sever,"Plzeňský kraj"
"Horní Benešov",Bruntál,"Moravskoslezský kraj"
"Horní Beřkovice",Litoměřice,"Ústecký kraj"
"Horní Bezděkov",Kladno,"Středočeský kraj"
"Horní Blatná","Karlovy Vary","Karlovarský kraj"
"Horní Bludovice",Karviná,"Moravskoslezský kraj"
"Horní Bojanovice",Břeclav,"Jihomoravský kraj"
"Horní Bradlo",Chrudim,"Pardubický kraj"
"Horní Branná",Semily,"Liberecký kraj"
"Horní Břečkov",Znojmo,"Jihomoravský kraj"
"Horní Bříza",Plzeň-sever,"Plzeňský kraj"
"Horní Brusnice",Trutnov,"Královéhradecký kraj"
"Horní Bukovina","Mladá Boleslav","Středočeský kraj"
"Horní Cerekev",Pelhřimov,Vysočina
"Horní Čermná","Ústí nad Orlicí","Pardubický kraj"
Hornice,Třebíč,Vysočina
"Horní Domaslavice",Frýdek-Místek,"Moravskoslezský kraj"
"Horní Dubenky",Jihlava,Vysočina
"Horní Dubňany",Znojmo,"Jihomoravský kraj"
"Horní Dunajovice",Znojmo,"Jihomoravský kraj"
"Horní Dvořiště","Český Krumlov","Jihočeský kraj"
"Horní Habartice",Děčín,"Ústecký kraj"
"Horní Heřmanice",Třebíč,Vysočina
"Horní Heřmanice","Ústí nad Orlicí","Pardubický kraj"
"Horní Jelení",Pardubice,"Pardubický kraj"
"Horní Jiřetín",Most,"Ústecký kraj"
"Horní Kalná",Trutnov,"Královéhradecký kraj"
"Horní Kamenice",Domažlice,"Plzeňský kraj"
"Horní Kněžeklady","České Budějovice","Jihočeský kraj"
"Horní Kounice",Znojmo,"Jihomoravský kraj"
"Horní Kozolupy",Tachov,"Plzeňský kraj"
"Horní Krupá","Havlíčkův Brod",Vysočina
"Horní Kruty",Kolín,"Středočeský kraj"
"Horní Lapač",Kroměříž,"Zlínský kraj"
"Horní Lhota",Ostrava-město,"Moravskoslezský kraj"
"Horní Lhota",Zlín,"Zlínský kraj"
"Horní Libchava","Česká Lípa","Liberecký kraj"
"Horní Libochová","Žďár nad Sázavou",Vysočina
"Horní Lideč",Vsetín,"Zlínský kraj"
"Horní Loděnice",Olomouc,"Olomoucký kraj"
"Horní Lomná",Frýdek-Místek,"Moravskoslezský kraj"
"Horní Loučky",Brno-venkov,"Jihomoravský kraj"
"Horní Lukavice",Plzeň-jih,"Plzeňský kraj"
"Horní Maršov",Trutnov,"Královéhradecký kraj"
"Horní Město",Bruntál,"Moravskoslezský kraj"
"Horní Meziříčko","Jindřichův Hradec","Jihočeský kraj"
"Horní Moštěnice",Přerov,"Olomoucký kraj"
"Horní Myslová",Jihlava,Vysočina
"Horní Němčice","Jindřichův Hradec","Jihočeský kraj"
"Horní Němčí","Uherské Hradiště","Zlínský kraj"
"Horní Nětčice",Přerov,"Olomoucký kraj"
"Horní Olešnice",Trutnov,"Královéhradecký kraj"
"Horní Paseka","Havlíčkův Brod",Vysočina
"Horní Pěna","Jindřichův Hradec","Jihočeský kraj"
"Horní Planá","Český Krumlov","Jihočeský kraj"
"Horní Počaply",Mělník,"Středočeský kraj"
"Horní Podluží",Děčín,"Ústecký kraj"
"Horní Police","Česká Lípa","Liberecký kraj"
"Horní Poříčí",Blansko,"Jihomoravský kraj"
"Horní Poříčí",Strakonice,"Jihočeský kraj"
"Horní Radechová",Náchod,"Královéhradecký kraj"
"Horní Radouň","Jindřichův Hradec","Jihočeský kraj"
"Horní Radslavice","Žďár nad Sázavou",Vysočina
"Horní Rápotice",Pelhřimov,Vysočina
"Horní Řasnice",Liberec,"Liberecký kraj"
"Horní Ředice",Pardubice,"Pardubický kraj"
"Horní Řepčice",Litoměřice,"Ústecký kraj"
"Horní Rožínka","Žďár nad Sázavou",Vysočina
"Horní Skrýchov","Jindřichův Hradec","Jihočeský kraj"
"Horní Slatina","Jindřichův Hradec","Jihočeský kraj"
"Horní Slavkov",Sokolov,"Karlovarský kraj"
"Horní Slivno","Mladá Boleslav","Středočeský kraj"
"Horní Smrčné",Třebíč,Vysočina
"Horní Smržov",Blansko,"Jihomoravský kraj"
"Horní Štěpánov",Prostějov,"Olomoucký kraj"
"Horní Stropnice","České Budějovice","Jihočeský kraj"
"Horní Studénky",Šumperk,"Olomoucký kraj"
"Horní Suchá",Karviná,"Moravskoslezský kraj"
"Horní Těšice",Přerov,"Olomoucký kraj"
"Horní Tošanovice",Frýdek-Místek,"Moravskoslezský kraj"
"Horní Třešňovec","Ústí nad Orlicí","Pardubický kraj"
"Horní Újezd",Přerov,"Olomoucký kraj"
"Horní Újezd",Svitavy,"Pardubický kraj"
"Horní Újezd",Třebíč,Vysočina
"Horní Ves",Pelhřimov,Vysočina
"Horní Věstonice",Břeclav,"Jihomoravský kraj"
"Horní Vilémovice",Třebíč,Vysočina
"Horní Vltavice",Prachatice,"Jihočeský kraj"
"Horní Životice",Bruntál,"Moravskoslezský kraj"
Hornosín,Strakonice,"Jihočeský kraj"
Horoměřice,Praha-západ,"Středočeský kraj"
Horosedly,Písek,"Jihočeský kraj"
Horoušany,Praha-východ,"Středočeský kraj"
Hořovice,Beroun,"Středočeský kraj"
Hořovičky,Rakovník,"Středočeský kraj"
Horšice,Plzeň-jih,"Plzeňský kraj"
"Horská Kvilda",Klatovy,"Plzeňský kraj"
"Horšovský Týn",Domažlice,"Plzeňský kraj"
Horušice,"Kutná Hora","Středočeský kraj"
Hory,"Karlovy Vary","Karlovarský kraj"
Hosín,"České Budějovice","Jihočeský kraj"
Hoslovice,Strakonice,"Jihočeský kraj"
Hospozín,Kladno,"Středočeský kraj"
Hospříz,"Jindřichův Hradec","Jihočeský kraj"
Hošťálková,Vsetín,"Zlínský kraj"
Hošťálkovy,Bruntál,"Moravskoslezský kraj"
Hošťalovice,Chrudim,"Pardubický kraj"
Hostašovice,"Nový Jičín","Moravskoslezský kraj"
Hoštejn,Šumperk,"Olomoucký kraj"
Hostějov,"Uherské Hradiště","Zlínský kraj"
Hostěnice,Brno-venkov,"Jihomoravský kraj"
Hostěradice,Znojmo,"Jihomoravský kraj"
Hostěrádky-Rešov,Vyškov,"Jihomoravský kraj"
Hostětice,Jihlava,Vysočina
Hostětín,"Uherské Hradiště","Zlínský kraj"
Hoštice-Heroltice,Vyškov,"Jihomoravský kraj"
Hoštice,Kroměříž,"Zlínský kraj"
Hoštice,Strakonice,"Jihočeský kraj"
Hostim,Znojmo,"Jihomoravský kraj"
Hostín,Mělník,"Středočeský kraj"
Hostinné,Trutnov,"Královéhradecký kraj"
"Hostín u Vojkovic",Mělník,"Středočeský kraj"
Hostišová,Zlín,"Zlínský kraj"
Hostivice,Praha-západ,"Středočeský kraj"
Hoštka,Litoměřice,"Ústecký kraj"
Hoštka,Tachov,"Plzeňský kraj"
Hostomice,Beroun,"Středočeský kraj"
Hostomice,Teplice,"Ústecký kraj"
Hostouň,Domažlice,"Plzeňský kraj"
"Hostouň u Prahy",Kladno,"Středočeský kraj"
Hostovlice,"Kutná Hora","Středočeský kraj"
Hosty,"České Budějovice","Jihočeský kraj"
Hovězí,Vsetín,"Zlínský kraj"
Hovorany,Hodonín,"Jihomoravský kraj"
Hovorčovice,Praha-východ,"Středočeský kraj"
Hraběšice,Šumperk,"Olomoucký kraj"
Hraběšín,"Kutná Hora","Středočeský kraj"
Hrabětice,Znojmo,"Jihomoravský kraj"
Hrabišín,Šumperk,"Olomoucký kraj"
Hrabová,Šumperk,"Olomoucký kraj"
Hrabůvka,Přerov,"Olomoucký kraj"
Hrabyně,Opava,"Moravskoslezský kraj"
Hracholusky,Prachatice,"Jihočeský kraj"
Hracholusky,Rakovník,"Středočeský kraj"
Hrachoviště,"Jindřichův Hradec","Jihočeský kraj"
Hradčany,Brno-venkov,"Jihomoravský kraj"
Hradčany-Kobeřice,Prostějov,"Olomoucký kraj"
Hradčany,Nymburk,"Středočeský kraj"
Hradčany,Přerov,"Olomoucký kraj"
Hradce,"České Budějovice","Jihočeský kraj"
Hradčovice,"Uherské Hradiště","Zlínský kraj"
Hradec,"Havlíčkův Brod",Vysočina
"Hradec Králové","Hradec Králové","Královéhradecký kraj"
"Hradec nad Moravicí",Opava,"Moravskoslezský kraj"
"Hradec nad Svitavou",Svitavy,"Pardubický kraj"
Hradečno,Kladno,"Středočeský kraj"
"Hradec-Nová Ves",Jeseník,"Olomoucký kraj"
Hradec,Plzeň-jih,"Plzeňský kraj"
Hrádek,Frýdek-Místek,"Moravskoslezský kraj"
Hrádek,"Hradec Králové","Královéhradecký kraj"
Hrádek,Klatovy,"Plzeňský kraj"
"Hrádek nad Nisou",Liberec,"Liberecký kraj"
"Hrádek u Rokycan",Rokycany,"Plzeňský kraj"
Hrádek,"Ústí nad Orlicí","Pardubický kraj"
Hrádek,Znojmo,"Jihomoravský kraj"
Hradešice,Klatovy,"Plzeňský kraj"
Hradešín,Kolín,"Středočeský kraj"
Hradiště,Benešov,"Středočeský kraj"
Hradiště,Domažlice,"Plzeňský kraj"
Hradiště,"Karlovy Vary","Karlovarský kraj"
Hradiště,Plzeň-jih,"Plzeňský kraj"
Hradiště,Rokycany,"Plzeňský kraj"
Hradištko,Nymburk,"Středočeský kraj"
Hradištko,Praha-západ,"Středočeský kraj"
Hranice,"České Budějovice","Jihočeský kraj"
Hranice,Cheb,"Karlovarský kraj"
Hranice,Přerov,"Olomoucký kraj"
"Hraničné Petrovice",Olomouc,"Olomoucký kraj"
Hrazany,Písek,"Jihočeský kraj"
Hrčava,Frýdek-Místek,"Moravskoslezský kraj"
Hrdějovice,"České Budějovice","Jihočeský kraj"
Hrdibořice,Prostějov,"Olomoucký kraj"
Hrdlív,Kladno,"Středočeský kraj"
Hrdlořezy,"Mladá Boleslav","Středočeský kraj"
Hřebeč,Kladno,"Středočeský kraj"
Hřebečníky,Rakovník,"Středočeský kraj"
Hředle,Beroun,"Středočeský kraj"
Hředle,Rakovník,"Středočeský kraj"
Hrejkovice,Písek,"Jihočeský kraj"
Hřensko,Děčín,"Ústecký kraj"
Hřibiny-Ledská,"Rychnov nad Kněžnou","Královéhradecký kraj"
Hřibojedy,Trutnov,"Královéhradecký kraj"
Hřiměždice,Příbram,"Středočeský kraj"
Hříšice,"Jindřichův Hradec","Jihočeský kraj"
Hříškov,Louny,"Ústecký kraj"
Hřivice,Louny,"Ústecký kraj"
"Hřivínův Újezd",Zlín,"Zlínský kraj"
Hrobce,Litoměřice,"Ústecký kraj"
Hrobčice,Teplice,"Ústecký kraj"
Hrobice,Pardubice,"Pardubický kraj"
Hrobice,Zlín,"Zlínský kraj"
Hrob,Teplice,"Ústecký kraj"
"Hrochův Týnec",Chrudim,"Pardubický kraj"
Hromnice,Plzeň-sever,"Plzeňský kraj"
Hronov,Náchod,"Královéhradecký kraj"
Hrotovice,Třebíč,Vysočina
Hroubovice,Chrudim,"Pardubický kraj"
Hroznatín,Třebíč,Vysočina
Hroznětín,"Karlovy Vary","Karlovarský kraj"
"Hroznová Lhota",Hodonín,"Jihomoravský kraj"
"Hrubá Skála",Semily,"Liberecký kraj"
"Hrubá Vrbka",Hodonín,"Jihomoravský kraj"
Hrubčice,Prostějov,"Olomoucký kraj"
"Hrubý Jeseník",Nymburk,"Středočeský kraj"
Hrusice,Praha-východ,"Středočeský kraj"
Hruška,Prostějov,"Olomoucký kraj"
Hrušky,Břeclav,"Jihomoravský kraj"
Hrušky,Vyškov,"Jihomoravský kraj"
Hrušovany,Chomutov,"Ústecký kraj"
"Hrušovany nad Jevišovkou",Znojmo,"Jihomoravský kraj"
"Hrušovany u Brna",Brno-venkov,"Jihomoravský kraj"
Hrušová,"Ústí nad Orlicí","Pardubický kraj"
Hrušov,"Mladá Boleslav","Středočeský kraj"
Hrutov,Jihlava,Vysočina
Hubenov,Jihlava,Vysočina
Hudčice,Příbram,"Středočeský kraj"
Hudlice,Beroun,"Středočeský kraj"
Hukvaldy,Frýdek-Místek,"Moravskoslezský kraj"
Hulice,Benešov,"Středočeský kraj"
Hulín,Kroměříž,"Zlínský kraj"
Humburky,"Hradec Králové","Královéhradecký kraj"
Humpolec,Pelhřimov,Vysočina
Huntířov,Děčín,"Ústecký kraj"
Hůrky,Rokycany,"Plzeňský kraj"
"Hurtova Lhota","Havlíčkův Brod",Vysočina
Hůry,"České Budějovice","Jihočeský kraj"
"Husí Lhota","Mladá Boleslav","Středočeský kraj"
Husinec,Prachatice,"Jihočeský kraj"
Husinec,Praha-východ,"Středočeský kraj"
Huslenky,Vsetín,"Zlínský kraj"
Huštěnovice,"Uherské Hradiště","Zlínský kraj"
Hustopeče,Břeclav,"Jihomoravský kraj"
"Hustopeče nad Bečvou",Přerov,"Olomoucký kraj"
Hutisko-Solanec,Vsetín,"Zlínský kraj"
Huzová,Olomouc,"Olomoucký kraj"
Hvězdlice,Vyškov,"Jihomoravský kraj"
Hvězdonice,Benešov,"Středočeský kraj"
Hvězdoňovice,Třebíč,Vysočina
Hvožďany,Domažlice,"Plzeňský kraj"
Hvožďany,Příbram,"Středočeský kraj"
Hvozdec,Beroun,"Středočeský kraj"
Hvozdec,Brno-venkov,"Jihomoravský kraj"
Hvozdec,"České Budějovice","Jihočeský kraj"
Hvozdná,Zlín,"Zlínský kraj"
Hvozdnice,"Hradec Králové","Královéhradecký kraj"
Hvozdnice,Praha-západ,"Středočeský kraj"
Hvozd,Plzeň-sever,"Plzeňský kraj"
Hvozd,Prostějov,"Olomoucký kraj"
Hvozd,Rakovník,"Středočeský kraj"
Hybrálec,Jihlava,Vysočina
Hynčice,Náchod,"Královéhradecký kraj"
Hynčina,Šumperk,"Olomoucký kraj"
Hýskov,Beroun,"Středočeský kraj"
Hýsly,Hodonín,"Jihomoravský kraj"
Ivaň,Brno-venkov,"Jihomoravský kraj"
Ivančice,Brno-venkov,"Jihomoravský kraj"
"Ivanovice na Hané",Vyškov,"Jihomoravský kraj"
Ivaň,Prostějov,"Olomoucký kraj"
Jabkenice,"Mladá Boleslav","Středočeský kraj"
Jabloňany,Blansko,"Jihomoravský kraj"
"Jablonec nad Jizerou",Semily,"Liberecký kraj"
"Jablonec nad Nisou","Jablonec nad Nisou","Liberecký kraj"
Jablonná,Příbram,"Středočeský kraj"
"Jablonné nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
"Jablonné v Podještědí",Liberec,"Liberecký kraj"
Jabloňov,"Žďár nad Sázavou",Vysočina
Jablůnka,Vsetín,"Zlínský kraj"
Jablunkov,Frýdek-Místek,"Moravskoslezský kraj"
Jáchymov,"Karlovy Vary","Karlovarský kraj"
Jahodov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Jakartovice,Opava,"Moravskoslezský kraj"
"Jakubčovice nad Odrou","Nový Jičín","Moravskoslezský kraj"
Jakubovice,Šumperk,"Olomoucký kraj"
"Jakubov u Moravských Budějovic",Třebíč,Vysočina
Jalubí,"Uherské Hradiště","Zlínský kraj"
Jamné,Jihlava,Vysočina
"Jamné nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
Jamolice,Znojmo,"Jihomoravský kraj"
Jámy,"Žďár nad Sázavou",Vysočina
Jankov,Benešov,"Středočeský kraj"
Jankov,"České Budějovice","Jihočeský kraj"
Jankovice,Kroměříž,"Zlínský kraj"
Jankovice,Pardubice,"Pardubický kraj"
Jankovice,"Uherské Hradiště","Zlínský kraj"
Jankov,Pelhřimov,Vysočina
Janoušov,Šumperk,"Olomoucký kraj"
Janová,Vsetín,"Zlínský kraj"
Janov,Bruntál,"Moravskoslezský kraj"
Janov,Děčín,"Ústecký kraj"
Janovice,Frýdek-Místek,"Moravskoslezský kraj"
"Janovice nad Úhlavou",Klatovy,"Plzeňský kraj"
"Janovice v Podještědí",Liberec,"Liberecký kraj"
"Janov nad Nisou","Jablonec nad Nisou","Liberecký kraj"
Janov,Rakovník,"Středočeský kraj"
Janov,"Rychnov nad Kněžnou","Královéhradecký kraj"
Janov,Svitavy,"Pardubický kraj"
Janská,Děčín,"Ústecký kraj"
"Janské Lázně",Trutnov,"Královéhradecký kraj"
"Janův Důl",Liberec,"Liberecký kraj"
Janůvky,Svitavy,"Pardubický kraj"
Jarcová,Vsetín,"Zlínský kraj"
Jarohněvice,Kroměříž,"Zlínský kraj"
"Jaroměřice nad Rokytnou",Třebíč,Vysočina
Jaroměřice,Svitavy,"Pardubický kraj"
Jaroměř,Náchod,"Královéhradecký kraj"
Jaroslavice,Znojmo,"Jihomoravský kraj"
Jaroslav,Pardubice,"Pardubický kraj"
"Jarošov nad Nežárkou","Jindřichův Hradec","Jihočeský kraj"
Jarošov,Svitavy,"Pardubický kraj"
Jarov,Plzeň-jih,"Plzeňský kraj"
Jarov,Plzeň-sever,"Plzeňský kraj"
Jarpice,Kladno,"Středočeský kraj"
Jasenice,Třebíč,Vysočina
Jasenná,Náchod,"Královéhradecký kraj"
Jasenná,Zlín,"Zlínský kraj"
Javorek,"Žďár nad Sázavou",Vysočina
Javor,Klatovy,"Plzeňský kraj"
Javornice,"Rychnov nad Kněžnou","Královéhradecký kraj"
Javorník,Benešov,"Středočeský kraj"
Javorník,Hodonín,"Jihomoravský kraj"
Javorník,Jeseník,"Olomoucký kraj"
Javorník,Svitavy,"Pardubický kraj"
Javorník,"Ústí nad Orlicí","Pardubický kraj"
Javůrek,Brno-venkov,"Jihomoravský kraj"
Jedlá,"Havlíčkův Brod",Vysočina
Jedlany,Tábor,"Jihočeský kraj"
Jedlí,Šumperk,"Olomoucký kraj"
Jedlová,Svitavy,"Pardubický kraj"
Jedomělice,Kladno,"Středočeský kraj"
Jedousov,Pardubice,"Pardubický kraj"
Jedovnice,Blansko,"Jihomoravský kraj"
Jehnědí,"Ústí nad Orlicí","Pardubický kraj"
Jemnice,Třebíč,Vysočina
Jemníky,Kladno,"Středočeský kraj"
Jenčice,Litoměřice,"Ústecký kraj"
Jeneč,Praha-západ,"Středočeský kraj"
Jeníkov,Chrudim,"Pardubický kraj"
Jeníkovice,"Hradec Králové","Královéhradecký kraj"
Jeníkovice,Pardubice,"Pardubický kraj"
Jeníkov,Teplice,"Ústecký kraj"
Jenišovice,Chrudim,"Pardubický kraj"
Jenišovice,"Jablonec nad Nisou","Liberecký kraj"
Jenišov,"Karlovy Vary","Karlovarský kraj"
Jenštejn,Praha-východ,"Středočeský kraj"
Jeřice,Jičín,"Královéhradecký kraj"
Jeřišno,"Havlíčkův Brod",Vysočina
Jeřmanice,Liberec,"Liberecký kraj"
Jersín,Jihlava,Vysočina
Jesenec,Prostějov,"Olomoucký kraj"
Jesenice,Praha-západ,"Středočeský kraj"
Jesenice,Příbram,"Středočeský kraj"
Jesenice,Rakovník,"Středočeský kraj"
Jeseník,Jeseník,"Olomoucký kraj"
"Jeseník nad Odrou","Nový Jičín","Moravskoslezský kraj"
Jesenný,Semily,"Liberecký kraj"
Ješetice,Benešov,"Středočeský kraj"
"Jestřabí Lhota",Kolín,"Středočeský kraj"
"Jestřabí v Krkonoších",Semily,"Liberecký kraj"
Jestřabí,Zlín,"Zlínský kraj"
Jestřebí,"Česká Lípa","Liberecký kraj"
Jestřebí,Náchod,"Královéhradecký kraj"
Jestřebí,Šumperk,"Olomoucký kraj"
Jetětice,Písek,"Jihočeský kraj"
Jetřichovice,Děčín,"Ústecký kraj"
Jetřichov,Náchod,"Královéhradecký kraj"
Jevany,Praha-východ,"Středočeský kraj"
Jevíčko,Svitavy,"Pardubický kraj"
Jeviněves,Mělník,"Středočeský kraj"
Jevišovice,Znojmo,"Jihomoravský kraj"
Jevišovka,Břeclav,"Jihomoravský kraj"
Jezbořice,Pardubice,"Pardubický kraj"
Jezdkovice,Opava,"Moravskoslezský kraj"
Jezdovice,Jihlava,Vysočina
Ježená,Jihlava,Vysočina
Jezeřany-Maršovice,Znojmo,"Jihomoravský kraj"
Jezernice,Přerov,"Olomoucký kraj"
Ježkovice,Vyškov,"Jihomoravský kraj"
Ježov,Hodonín,"Jihomoravský kraj"
Ježov,Pelhřimov,Vysočina
Ježovy,Klatovy,"Plzeňský kraj"
Jičíněves,Jičín,"Královéhradecký kraj"
Jičín,Jičín,"Královéhradecký kraj"
Jickovice,Písek,"Jihočeský kraj"
Jihlava,Jihlava,Vysočina
Jihlávka,Jihlava,Vysočina
Jíkev,Nymburk,"Středočeský kraj"
Jilem,"Havlíčkův Brod",Vysočina
Jilem,"Jindřichův Hradec","Jihočeský kraj"
Jilemnice,Semily,"Liberecký kraj"
Jílové,Děčín,"Ústecký kraj"
"Jílové u Držkova","Jablonec nad Nisou","Liberecký kraj"
"Jílové u Prahy",Praha-západ,"Středočeský kraj"
Jílovice,"České Budějovice","Jihočeský kraj"
Jílovice,"Hradec Králové","Královéhradecký kraj"
Jíloviště,Praha-západ,"Středočeský kraj"
Jimlín,Louny,"Ústecký kraj"
Jimramov,"Žďár nad Sázavou",Vysočina
Jinačovice,Brno-venkov,"Jihomoravský kraj"
Jince,Příbram,"Středočeský kraj"
Jindřichov,Bruntál,"Moravskoslezský kraj"
Jindřichovice,Jihlava,Vysočina
"Jindřichovice pod Smrkem",Liberec,"Liberecký kraj"
Jindřichovice,Sokolov,"Karlovarský kraj"
Jindřichov,Přerov,"Olomoucký kraj"
Jindřichov,Šumperk,"Olomoucký kraj"
"Jindřichův Hradec","Jindřichův Hradec","Jihočeský kraj"
Jinín,Strakonice,"Jihočeský kraj"
Jinočany,Praha-západ,"Středočeský kraj"
Jinolice,Jičín,"Královéhradecký kraj"
Jinošov,Třebíč,Vysočina
Jiratice,Třebíč,Vysočina
"Jiřetín pod Bukovou","Jablonec nad Nisou","Liberecký kraj"
"Jiřetín pod Jedlovou",Děčín,"Ústecký kraj"
Jiřice,Nymburk,"Středočeský kraj"
Jiřice,Pelhřimov,Vysočina
"Jiřice u Miroslavi",Znojmo,"Jihomoravský kraj"
"Jiřice u Moravských Budějovic",Znojmo,"Jihomoravský kraj"
Jiříkov,Bruntál,"Moravskoslezský kraj"
Jiříkov,Děčín,"Ústecký kraj"
Jiříkovice,Brno-venkov,"Jihomoravský kraj"
Jirkov,Chomutov,"Ústecký kraj"
Jirny,Praha-východ,"Středočeský kraj"
Jistebnice,Tábor,"Jihočeský kraj"
Jistebník,"Nový Jičín","Moravskoslezský kraj"
Jitkov,"Havlíčkův Brod",Vysočina
Jivina,Beroun,"Středočeský kraj"
Jivina,"Mladá Boleslav","Středočeský kraj"
Jívka,Trutnov,"Královéhradecký kraj"
Jivno,"České Budějovice","Jihočeský kraj"
Jívová,Olomouc,"Olomoucký kraj"
Jívoví,"Žďár nad Sázavou",Vysočina
Jizbice,Nymburk,"Středočeský kraj"
"Jizerní Vtelno","Mladá Boleslav","Středočeský kraj"
Josefov,Hodonín,"Jihomoravský kraj"
Josefov,Sokolov,"Karlovarský kraj"
"Josefův Důl","Jablonec nad Nisou","Liberecký kraj"
"Josefův Důl","Mladá Boleslav","Středočeský kraj"
"Kacákova Lhota",Jičín,"Královéhradecký kraj"
Kacanovy,Semily,"Liberecký kraj"
Kaceřov,Plzeň-sever,"Plzeňský kraj"
Kaceřov,Sokolov,"Karlovarský kraj"
Kačice,Kladno,"Středočeský kraj"
Kačlehy,"Jindřichův Hradec","Jihočeský kraj"
Kácov,"Kutná Hora","Středočeský kraj"
Kadaň,Chomutov,"Ústecký kraj"
Kadlín,Mělník,"Středočeský kraj"
Kadolec,"Žďár nad Sázavou",Vysočina
Kadov,Strakonice,"Jihočeský kraj"
Kadov,"Žďár nad Sázavou",Vysočina
Kadov,Znojmo,"Jihomoravský kraj"
Kájov,"Český Krumlov","Jihočeský kraj"
Kakejcov,Rokycany,"Plzeňský kraj"
Kalek,Chomutov,"Ústecký kraj"
Kalenice,Strakonice,"Jihočeský kraj"
Kalhov,Jihlava,Vysočina
Kaliště,Jihlava,Vysočina
Kaliště,Pelhřimov,Vysočina
Kaliště,Praha-východ,"Středočeský kraj"
Kalivody,Rakovník,"Středočeský kraj"
Kaly,Brno-venkov,"Jihomoravský kraj"
Kamberk,Benešov,"Středočeský kraj"
Kámen,Děčín,"Ústecký kraj"
Kamenec,Rokycany,"Plzeňský kraj"
"Kamenec u Poličky",Svitavy,"Pardubický kraj"
Kámen,"Havlíčkův Brod",Vysočina
Kamenice,Jihlava,Vysočina
"Kamenice nad Lipou",Pelhřimov,Vysočina
Kamenice,Praha-východ,"Středočeský kraj"
Kameničky,Chrudim,"Pardubický kraj"
"Kamenický Šenov","Česká Lípa","Liberecký kraj"
Kameničná,"Ústí nad Orlicí","Pardubický kraj"
Kamenná,"České Budějovice","Jihočeský kraj"
"Kamenná Horka",Svitavy,"Pardubický kraj"
Kamenná,Jihlava,Vysočina
"Kamenná Lhota","Havlíčkův Brod",Vysočina
Kamenná,Šumperk,"Olomoucký kraj"
Kamenná,Třebíč,Vysočina
"Kamenné Zboží",Nymburk,"Středočeský kraj"
"Kamenné Žehrovice",Kladno,"Středočeský kraj"
"Kamenný Malíkov","Jindřichův Hradec","Jihočeský kraj"
"Kamenný Most",Kladno,"Středočeský kraj"
"Kamenný Přívoz",Praha-západ,"Středočeský kraj"
"Kamenný Újezd","České Budějovice","Jihočeský kraj"
"Kamenný Újezd",Rokycany,"Plzeňský kraj"
Kámen,Pelhřimov,Vysočina
Kamýk,Litoměřice,"Ústecký kraj"
"Kamýk nad Vltavou",Příbram,"Středočeský kraj"
Kanice,Brno-venkov,"Jihomoravský kraj"
Kanice,Domažlice,"Plzeňský kraj"
Kaničky,Domažlice,"Plzeňský kraj"
Kanina,Mělník,"Středočeský kraj"
Kaňovice,Frýdek-Místek,"Moravskoslezský kraj"
Kaňovice,Zlín,"Zlínský kraj"
Kaplice,"Český Krumlov","Jihočeský kraj"
Káranice,"Hradec Králové","Královéhradecký kraj"
Káraný,Praha-východ,"Středočeský kraj"
"Kardašova Řečice","Jindřichův Hradec","Jihočeský kraj"
Kařez,Rokycany,"Plzeňský kraj"
Kařízek,Rokycany,"Plzeňský kraj"
Karle,Svitavy,"Pardubický kraj"
Karlík,Praha-západ,"Středočeský kraj"
Karlín,Hodonín,"Jihomoravský kraj"
"Karlova Studánka",Bruntál,"Moravskoslezský kraj"
"Karlova Ves",Rakovník,"Středočeský kraj"
Karlovice,Bruntál,"Moravskoslezský kraj"
Karlovice,Semily,"Liberecký kraj"
